1000 uL pipette,,,
,,,
Plunger_pos,Plunger,mass_mL,mass
0,0,0.986,986
0,0,1.0014,1001.4
0,0,0.9932,993.2
0,0,0.9927,992.7
21,-21,1.6332,1633.2
26,-26,1.7876,1787.6
6,-6,1.1761,1176.1
1,-1,1.0266,1026.6
21,-21,1.642,1642
16,-16,1.4952,1495.2
16,-16,1.4866,1486.6
1,-1,1.022,1022
6,-6,1.1802,1180.2
11,-11,1.3193,1319.3
11,-11,1.3233,1323.3
21,-21,1.6287,1628.7
11,-11,1.3256,1325.6
6,-6,1.1774,1177.4
26,-26,1.7873,1787.3
1,-1,1.0202,1020.2
21,-21,1.6339,1633.9
6,-6,1.1855,1185.5
16,-16,1.476,1476
1,-1,1.0293,1029.3
26,-26,1.7929,1792.9
11,-11,1.3431,1343.1
26,-26,1.7896,1789.6
16,-16,1.4935,1493.5
